PupsID,Region,Age,Metabolite,bvalue,Attenuation
7,Thalamus,5,GPC+PCho+Cho,0.035,1
7,Thalamus,5,GPC+PCho+Cho,3.035,0.710982658959538
7,Thalamus,5,GPC+PCho+Cho,6,0.826589595375723
7,Thalamus,5,GPC+PCho+Cho,10,0.514450867052023
7,Thalamus,5,GPC+PCho+Cho,20,0.223699421965318
7,Thalamus,5,GPC+PCho+Cho,30,0.117919075144509
16,Cerebellum,5,GPC+PCho+Cho,0.035,1
16,Cerebellum,5,GPC+PCho+Cho,3.035,0.159941520467836
16,Cerebellum,5,GPC+PCho+Cho,6,0.091812865497076
16,Cerebellum,5,GPC+PCho+Cho,10,1.24561403508772e-06
16,Cerebellum,5,GPC+PCho+Cho,20,0.0707602339181286
16,Cerebellum,5,GPC+PCho+Cho,30,0.0456140350877193
8,Thalamus,5,GPC+PCho+Cho,0.035,1
8,Thalamus,5,GPC+PCho+Cho,3.035,0.593117408906883
8,Thalamus,5,GPC+PCho+Cho,6,0.58502024291498
8,Thalamus,5,GPC+PCho+Cho,10,0.370445344129555
8,Thalamus,5,GPC+PCho+Cho,20,0.384615384615385
8,Thalamus,5,GPC+PCho+Cho,30,0.220647773279352
17,Cerebellum,5,GPC+PCho+Cho,0.035,1
17,Cerebellum,5,GPC+PCho+Cho,3.035,0.714285714285714
17,Cerebellum,5,GPC+PCho+Cho,6,0.61734693877551
17,Cerebellum,5,GPC+PCho+Cho,10,0.397959183673469
17,Cerebellum,5,GPC+PCho+Cho,20,0.220663265306122
17,Cerebellum,5,GPC+PCho+Cho,30,0.0966836734693877
9,Thalamus,5,GPC+PCho+Cho,0.035,1
9,Thalamus,5,GPC+PCho+Cho,3.035,0.758949880668258
9,Thalamus,5,GPC+PCho+Cho,6,0.64200477326969
9,Thalamus,5,GPC+PCho+Cho,10,0.486873508353222
9,Thalamus,5,GPC+PCho+Cho,20,0.41527446300716
9,Thalamus,5,GPC+PCho+Cho,30,0.284009546539379
18,Cerebellum,5,GPC+PCho+Cho,0.035,1
18,Cerebellum,5,GPC+PCho+Cho,3.035,0.60989010989011
18,Cerebellum,5,GPC+PCho+Cho,6,0.596153846153846
18,Cerebellum,5,GPC+PCho+Cho,10,0.516483516483517
18,Cerebellum,5,GPC+PCho+Cho,20,0.315934065934066
18,Cerebellum,5,GPC+PCho+Cho,30,0.315934065934066
1,Thalamus,5,Glu,0.035,1
1,Thalamus,5,Glu,3.035,0.652360515021459
1,Thalamus,5,Glu,6,0.497854077253219
1,Thalamus,5,Glu,10,0.395708154506438
1,Thalamus,5,Glu,20,0.277682403433476
1,Thalamus,5,Glu,30,0.160944206008584
10,Cerebellum,5,Glu,0.035,1
10,Cerebellum,5,Glu,3.035,0.674285714285714
10,Cerebellum,5,Glu,6,0.481142857142857
10,Cerebellum,5,Glu,10,0.44
10,Cerebellum,5,Glu,20,0.312571428571429
10,Cerebellum,5,Glu,30,0.120571428571429
2,Thalamus,5,Glu,0.035,1
2,Thalamus,5,Glu,3.035,0.580786026200873
2,Thalamus,5,Glu,6,0.48471615720524
2,Thalamus,5,Glu,10,0.294323144104803
2,Thalamus,5,Glu,20,0.24235807860262
2,Thalamus,5,Glu,30,0.104803493449782
11,Cerebellum,5,Glu,0.035,1
11,Cerebellum,5,Glu,3.035,0.84251968503937
11,Cerebellum,5,Glu,6,0.623622047244095
11,Cerebellum,5,Glu,10,0.433070866141732
11,Cerebellum,5,Glu,20,0.153543307086614
11,Cerebellum,5,Glu,30,0.181102362204724
3,Thalamus,5,Glu,0.035,0
