PupId,Region,Age,Metabolite,MixTime,ADC,ADCcorr
9,Thalamus,5,Glu,500,0.128186141096284,0.128186141096284
9,Thalamus,5,Glu,750,0.0983051256817669,0.0983051256817669
9,Thalamus,5,Glu,1000,0.13411108487479,0.13411108487479
18,Cerebellum,5,Glu,100,0.0657554789517833,0.0657554789517833
18,Cerebellum,5,Glu,500,0.0225070669584984,0.0225070669584984
18,Cerebellum,5,Glu,750,0.125385359836852,0
18,Cerebellum,5,Glu,1000,0.204882164412741,0.204882164412741
1,Thalamus,5,Ins,100,0.0937393086106306,0.0937393086106306
1,Thalamus,5,Ins,500,0.0152310758862996,0.0152310758862996
1,Thalamus,5,Ins,750,0.088064697048189,0.088064697048189
1,Thalamus,5,Ins,1000,0.0970656715197418,0.0970656715197418
10,Cerebellum,5,Ins,100,0.123157168486753,0.123157168486753
10,Cerebellum,5,Ins,500,0.009337678742558,0.009337678742558
10,Cerebellum,5,Ins,750,0.150661707914352,0
10,Cerebellum,5,Ins,1000,0.122423170123376,0.122423170123376
2,Thalamus,5,Ins,100,0.04365202094893,0.04365202094893
2,Thalamus,5,Ins,500,0.0477002812135578,0.0477002812135578
2,Thalamus,5,Ins,750,0.156915800066193,0.156915800066193
2,Thalamus,5,Ins,1000,0.107046579547542,0.107046579547542
11,Cerebellum,5,Ins,100,0.0536983840600231,0.0536983840600231
11,Cerebellum,5,Ins,500,0.0815418133767031,0.0815418133767031
11,Cerebellum,5,Ins,750,-0.00354990930555272,0
11,Cerebellum,5,Ins,1000,0.0385744342311243,0.0385744342311243
3,Thalamus,5,Ins,100,0,0
3,Thalamus,5,Ins,500,0,0
3,Thalamus,5,Ins,750,0,0
3,Thalamus,5,Ins,1000,0,0
12,Cerebellum,5,Ins,100,0.024024116013708,0.024024116013708
12,Cerebellum,5,Ins,500,0.0385718792576768,0.0385718792576768
12,Cerebellum,5,Ins,750,0.0419364488435374,0.0419364488435374
12,Cerebellum,5,Ins,1000,0.0053334471154804,0.0053334471154804
4,Thalamus,5,Ins,100,0.0327461465278044,0.0327461465278044
4,Thalamus,5,Ins,500,0.0663930902918271,0.0663930902918271
4,Thalamus,5,Ins,750,0.0611732930953544,0.0611732930953544
4,Thalamus,5,Ins,1000,0.123294403209076,0.123294403209076
13,Cerebellum,5,Ins,100,0.131376318107276,0
13,Cerebellum,5,Ins,500,-0.0551871293121632,0
13,Cerebellum,5,Ins,750,0.0314575110761204,0
13,Cerebellum,5,Ins,1000,-0.0247026573845739,0
5,Thalamus,5,Ins,100,0.0171564450764934,0.0171564450764934
5,Thalamus,5,Ins,500,0.0541069633624284,0
5,Thalamus,5,Ins,750,-0.331083924336761,0
5,Thalamus,5,Ins,1000,0.0764673178342107,0.0764673178342107
14,Cerebellum,5,Ins,100,0.110167356544903,0.110167356544903
14,Cerebellum,5,Ins,500,0.162463524002508,0.162463524002508
14,Cerebellum,5,Ins,750,0.0239734619429227,0.0239734619429227
14,Cerebellum,5,Ins,1000,-0.0042156539002558,0
6,Thalamus,5,Ins,100,0.0885677219110019,0.0885677219110019
6,Thalamus,5,Ins,500,0.121166969669711,0.121166969669711
6,Thalamus,5,Ins,750,0.0506612772473893,0.0506612772473893
6,Thalamus,5,Ins,1000,0.0460501128269391,0.0460501128269391
15,Cerebellum,5,Ins,100,0.109917762124156,0.109917762124156
15,Cerebellum,5,Ins,500,0.111897097212714,0.111897097212714
15,Cerebellum,5,Ins,750,-0.0483713097911182,0
15,Cerebellum,5,Ins,1000,0.15693572161514,0.15693572161514
7,Thalamus,5,Ins,100,0.112803198653813,0.112803198653813
7,Thalamus,5,Ins,500,0.103522122095123,0.103522122095123
7,Thalamus,5,Ins,750,0.0839794844207181,0.0839794844207181
7,Thalamus,5,Ins,1000,0.0632614259985147,0.0632614259985147
16,Cerebellum,5,Ins,100,0.206967424562206,0
16,Cerebellum,5,Ins,500,0.0249158088359382,0
16,Cerebellum,5,Ins,750,0.1567929780618,0
16,Cerebellum,5,Ins,1000,0.155146750910297,0.155146750910297
8,Thalamus,5,Ins,100,-0.0357148791504426,0
8,Thalamus,5,Ins,500,0.101686891260699,0.101686891260699
8,Thalamus,5,Ins,750,0.140685901067195,0.140685901067195
8,Thalamus,5,Ins,1000,-0.204486339985415,0
17,Cerebellum,5,Ins,100,0.39538939323081,0
17,Cerebellum,5,Ins,500,0.254176994155421,0
17,Cerebellum,5,Ins,750,0.107562888150365,0
17,Cerebellum,5,Ins,1000,0.138505147987222,0
9,Thalamus,5,Ins,100,0.129963978215065,0.129963978215065
9,Thalamus,5,Ins,500,0.0333611528523275,0.0333611528523275
9,Thalamus,5,Ins,750,0.0218190722182146,0.0218190722182146
9,Thalamus,5,Ins,1000,-0.202367484733804,0
18,Cerebellum,5,Ins,100,0.164499485864496,0.164499485864496
18,Cerebellum,5,Ins,500,0.108273873133746,0.108273873133746
18,Cerebellum,5,Ins,750,-0.0131704374246141,0
18,Cerebellum,5,Ins,1000,0.133153028015984,0.133153028015984
1,Thalamus,5,Tau,100,0.139869871831443,0.139869871831443
1,Thalamus,5,Tau,500,0.121785036923333,0.121785036923333
1,Thalamus,5,Tau,750,0.142622014932444,0.142622014932444
1,Thalamus,5,Tau,1000,0.117814641119095,0.117814641119095
